5,0.0,9.24,-1.0
5,1.0,9.31,-1.0
5,2.0,9.72,-1.0
5,3.0,9.18,-1.0
5,4.0,6.73,-1.0
5,5.0,6.64,-1.0
5,6.0,6.45,-1.0
5,7.0,5.71,-1.0
5,8.0,4.83,-1.0
5,9.0,5.26,-1.0
5,10.0,5.93,-1.0
5,11.0,6.52,-1.0
5,12.0,7.78,-1.0
5,13.0,8.12,-1.0
5,14.0,8.32,-1.0
5,15.0,7.49,-1.0
5,16.0,7.44,-1.0
5,17.0,7.41,-1.0
5,18.0,7.37,-1.0
5,19.0,7.03,-1.0
5,20.0,7.43,-1.0
5,21.0,7.43,-1.0
5,22.0,7.43,-1.0
5,23.0,7.14,-1.0
6,0.0,7.54,-1.0
6,1.0,7.54,-1.0
6,2.0,8.09,-1.0
6,3.0,8.05,-1.0
6,4.0,7.42,-1.0
6,5.0,6.82,-1.0
6,6.0,6.38,-1.0
6,7.0,6.33,-1.0
6,8.0,6.24,-1.0
6,9.0,6.51,-1.0
6,10.0,7.58,-1.0
6,11.0,8.56,-1.0
6,12.0,9.22,-1.0
6,13.0,9.24,-1.0
6,14.0,9.3,-1.0
6,15.0,9.24,-1.0
6,16.0,8.71,-1.0
6,17.0,7.48,-1.0
6,18.0,6.8,-1.0
6,19.0,6.71,-1.0
6,20.0,6.24,-1.0
6,21.0,6.24,-1.0
6,22.0,5.92,-1.0
6,23.0,5.79,-1.0
0,0.0,5.27,-1.0
0,1.0,5.6,-1.0
0,2.0,5.16,-1.0
0,3.0,5.18,-1.0
0,4.0,4.97,-1.0
0,5.0,5.43,-1.0
0,6.0,5.39,-1.0
0,7.0,5.72,-1.0
0,8.0,5.8,-1.0
0,9.0,6.41,-1.0
0,10.0,7.36,-1.0
0,11.0,7.76,-1.0
0,12.0,7.88,-1.0
0,13.0,7.96,-1.0
0,14.0,7.99,-1.0
0,15.0,7.86,-1.0
0,16.0,6.96,-1.0
0,17.0,6.38,-1.0
0,18.0,5.78,-1.0
0,19.0,6.14,-1.0
0,20.0,5.81,-1.0
0,21.0,5.82,-1.0
0,22.0,5.38,-1.0
0,23.0,5.8,-1.0
1,0.0,5.85,-1.0
1,1.0,6.19,-1.0
1,2.0,6.3,-1.0
1,3.0,6.37,-1.0
1,4.0,6.26,-1.0
1,5.0,5.63,-1.0
1,6.0,4.71,-1.0
1,7.0,4.22,-1.0
1,8.0,5.33,-1.0
1,9.0,5.45,-1.0
1,10.0,6.57,-1.0
1,11.0,7.45,-1.0
1,12.0,8.39,-1.0
1,13.0,8.88,-1.0
1,14.0,8.46,-1.0
1,15.0,8.07,-1.0
1,16.0,7.82,-1.0
1,17.0,7.42,-1.0
1,18.0,7.47,-1.0
1,19.0,7.93,-1.0
1,20.0,8.05,-1.0
1,21.0,8.07,-1.0
1,22.0,7.09,-1.0
1,23.0,6.49,-1.0
2,0.0,6.44,-1.0
2,1.0,5.91,-1.0
2,2.0,5.54,-1.0
2,3.0,6.46,-1.0
2,4.0,7.06,-1.0
2,5.0,7.48,-1.0
2,6.0,7.08,-1.0
2,7.0,7.44,-1.0
2,8.0,7.47,-1.0
2,9.0,8.06,-1.0
2,10.0,8.9,-1.0
2,11.0,8.97,-1.0
2,12.0,8.47,-1.0
2,13.0,7.11,-1.0
2,14.0,7.58,-1.0
2,15.0,8.18,-1.0
2,16.0,9.21,-1.0
2,17.0,9.37,-1.0
2,18.0,9.64,-1.0
2,19.0,9.26,-1.0
2,20.0,9.51,-1.0
2,21.0,9.13,-1.0
2,22.0,8.57,-1.0
2,23.0,8.53,-1.0
3,0.0,8.44,-1.0
3,1.0,8.06,-1.0
3,2.0,8.09,-1.0
3,3.0,7.69,-1.0
3,4.0,7.94,-1.0
3,5.0,7.51,-1.0
3,6.0,7.06,-1.0
3,7.0,7.01,-1.0
3,8.0,7.4,-1.0
3,9.0,7.59,-1.0
3,10.0,8.12,-1.0
3,11.0,8.42,-1.0
3,12.0,7.47,-1.0
3,13.0,7.32,-1.0
3,14.0,6.28,-1.0
3,15.0,5.86,-1.0
3,16.0,5.94,-1.0
3,17.0,6.81,-1.0
3,18.0,8.56,-1.0
3,19.0,9.77,-1.0
3,20.0,9.81,-1.0
3,21.0,9.73,-1.0
3,22.0,9.32,-1.0
3,23.0,9.24,-1.0
4,0.0,9.29,-1.0
4,1.0,9.45,-1.0
4,2.0,9.81,-1.0
4,3.0,9.39,-1.0
4,4.0,9.27,-1.0
4,5.0,9.03,-1.0
4,6.0,6.53,-1.0
4,7.0,5.0,-1.0
4,8.0,4.13,-1.0
4,9.0,4.33,-1.0
4,10.0,5.41,-1.0
4,11.0,6.98,-1.0
4,12.0,8.06,-1.0
4,13.0,8.6,-1.0
4,14.0,8.71,-1.0
4,15.0,8.97,-1.0
4,16.0,8.22,-1.0
4,17.0,7.73,-1.0
4,18.0,7.26,-1.0
4,19.0,7.03,-1.0
4,20.0,7.92,-1.0
4,21.0,8.38,-1.0
4,22.0,8.12,-1.0
4,23.0,7.98,-1.0
5,0.0,7.62,-1.0
5,1.0,8.1,-1.0
5,2.0,8.18,-1.0
5,3.0,8.77,-1.0
5,4.0,8.82,-1.0
5,5.0,9.13,-1.0
5,6.0,8.57,-1.0
5,7.0,8.43,-1.0
5,8.0,7.73,-1.0
5,9.0,8.27,-1.0
5,10.0,9.01,-1.0
5,11.0,6.81,-1.0
5,12.0,6.82,-1.0
5,13.0,8.19,-1.0
5,14.0,8.03,-1.0
5,15.0,7.11,-1.0
5,16.0,7.54,-1.0
5,17.0,7.42,-1.0
5,18.0,7.38,-1.0
5,19.0,7.05,-1.0
5,20.0,7.08,-1.0
5,21.0,7.18,-1.0
5,22.0,7.55,-1.0
5,23.0,7.49,-1.0
6,0.0,7.43,-1.0
6,1.0,7.41,-1.0
6,2.0,7.39,-1.0
6,3.0,7.37,-1.0
6,4.0,6.94,-1.0
6,5.0,6.69,-1.0
6,6.0,7.07,-1.0
6,7.0,7.46,-1.0
6,8.0,7.48,-1.0
6,9.0,7.02,-1.0
6,10.0,7.43,-1.0
6,11.0,7.25,-1.0
6,12.0,8.06,-1.0
6,13.0,8.18,-1.0
6,14.0,8.07,-1.0
6,15.0,6.94,-1.0
6,16.0,7.74,-1.0
6,17.0,6.72,-1.0
6,18.0,6.07,-1.0
6,19.0,5.11,-1.0
6,20.0,4.78,-1.0
6,21.0,5.19,-1.0
6,22.0,5.14,-1.0
6,23.0,4.8,-1.0
0,0.0,5.18,-1.0
0,1.0,4.78,-1.0
0,2.0,4.69,-1.0
0,3.0,4.62,-1.0
0,4.0,4.57,-1.0
0,5.0,4.58,-1.0
0,6.0,4.47,-1.0
0,7.0,4.23,-1.0
0,8.0,4.74,-1.0
0,9.0,5.35,-1.0
0,10.0,5.96,-1.0
0,11.0,6.54,-1.0
0,12.0,7.54,-1.0
0,13.0,8.21,-1.0
0,14.0,8.78,-1.0
0,15.0,6.13,-1.0
0,16.0,6.59,-1.0
0,17.0,6.39,-1.0
0,18.0,6.25,-1.0
0,19.0,5.83,-1.0
0,20.0,5.22,-1.0
0,21.0,5.11,-1.0
0,22.0,4.53,-1.0
0,23.0,4.08,-1.0
1,0.0,3.19,-1.0
1,1.0,2.77,-1.0
1,2.0,3.02,-1.0
1,3.0,3.01,-1.0
1,4.0,2.97,-1.0
1,5.0,3.18,-1.0
1,6.0,4.72,-1.0
1,7.0,5.82,-1.0
1,8.0,6.42,-1.0
1,9.0,6.92,-1.0
1,10.0,6.96,-1.0
1,11.0,7.09,-1.0
1,12.0,7.36,-1.0
1,13.0,6.88,-1.0
1,14.0,6.68,-1.0
1,15.0,7.46,-1.0
1,16.0,7.51,-1.0
1,17.0,6.77,-1.0
1,18.0,5.75,-1.0
1,19.0,5.23,-1.0
1,20.0,5.12,-1.0
1,21.0,4.75,-1.0
1,22.0,4.17,-1.0
1,23.0,3.58,-1.0
2,0.0,3.07,-1.0
2,1.0,3.03,-1.0
2,2.0,3.18,-1.0
2,3.0,4.07,-1.0
2,4.0,4.27,-1.0
2,5.0,4.61,-1.0
2,6.0,4.65,-1.0
2,7.0,4.8,-1.0
2,8.0,5.5,-1.0
2,9.0,6.62,-1.0
2,10.0,7.69,-1.0
2,11.0,8.13,-1.0
2,12.0,8.16,-1.0
2,13.0,7.84,-1.0
2,14.0,6.51,-1.0
2,15.0,7.59,-1.0
2,16.0,8.83,-1.0
2,17.0,8.12,-1.0
2,18.0,8.05,-1.0
2,19.0,7.79,-1.0
2,20.0,6.49,-1.0
2,21.0,6.72,-1.0
2,22.0,5.82,-1.0
2,23.0,5.56,-1.0
3,0.0,5.37,-1.0
3,1.0,5.23,-1.0
3,2.0,4.8,-1.0
3,3.0,4.67,-1.0
3,4.0,4.17,-1.0
3,5.0,4.14,-1.0
3,6.0,4.67,-1.0
3,7.0,4.73,-1.0
3,8.0,5.19,-1.0
3,9.0,5.26,-1.0
3,10.0,6.24,-1.0
3,11.0,6.61,-1.0
3,12.0,7.32,-1.0
3,13.0,7.35,-1.0
3,14.0,7.36,-1.0
3,15.0,7.37,-1.0
3,16.0,6.99,-1.0
3,17.0,6.42,-1.0
3,18.0,5.85,-1.0
3,19.0,5.61,-1.0
3,20.0,5.12,-1.0
3,21.0,4.23,-1.0
3,22.0,4.12,-1.0
3,23.0,4.09,-1.0
4,0.0,4.04,-1.0
4,1.0,3.98,-1.0
4,2.0,3.56,-1.0
4,3.0,3.47,-1.0
4,4.0,3.96,-1.0
4,5.0,4.21,-1.0
4,6.0,4.69,-1.0
4,7.0,5.22,-1.0
4,8.0,6.08,-1.0
4,9.0,5.3,-1.0
4,10.0,5.25,-1.0
4,11.0,5.25,-1.0
4,12.0,5.27,-1.0
4,13.0,5.5,-1.0
4,14.0,6.62,-1.0
4,15.0,7.96,-1.0
4,16.0,10.48,-1.0
4,17.0,11.6,-1.0
4,18.0,11.61,-1.0
4,19.0,12.02,-1.0
4,20.0,11.71,-1.0
4,21.0,10.32,-1.0
4,22.0,9.9,-1.0
4,23.0,9.87,-1.0
5,0.0,9.71,-1.0
5,1.0,8.86,-1.0
5,2.0,8.74,-1.0
5,3.0,8.66,-1.0
5,4.0,8.97,-1.0
5,5.0,8.21,-1.0
5,6.0,8.23,-1.0
5,7.0,8.59,-1.0
5,8.0,8.63,-1.0
5,9.0,8.55,-1.0
5,10.0,9.44,-1.0
5,11.0,9.38,-1.0
5,12.0,9.9,-1.0
5,13.0,9.41,-1.0
5,14.0,9.36,-1.0
5,15.0,9.02,-1.0
5,16.0,8.54,-1.0
5,17.0,8.04,-1.0
5,18.0,7.51,-1.0
5,19.0,7.39,-1.0
5,20.0,6.56,-1.0
5,21.0,6.47,-1.0
5,22.0,5.96,-1.0
5,23.0,5.38,-1.0
6,0.0,5.28,-1.0
6,1.0,4.87,-1.0
6,2.0,4.36,-1.0
6,3.0,4.2,-1.0
6,4.0,3.79,-1.0
6,5.0,3.28,-1.0
6,6.0,3.11,-1.0
6,7.0,2.34,-1.0
6,8.0,2.77,-1.0
6,9.0,3.73,-1.0
6,10.0,5.72,-1.0
6,11.0,7.98,-1.0
6,12.0,8.71,-1.0
6,13.0,9.19,-1.0
6,14.0,9.98,-1.0
6,15.0,9.74,-1.0
6,16.0,9.93,-1.0
6,17.0,8.36,-1.0
6,18.0,7.59,-1.0
6,19.0,6.71,-1.0
6,20.0,6.24,-1.0
6,21.0,5.67,-1.0
6,22.0,5.14,-1.0
6,23.0,5.22,-1.0
0,0.0,5.1,-1.0
0,1.0,5.09,-1.0
0,2.0,5.02,-1.0
0,3.0,5.08,-1.0
0,4.0,5.22,-1.0
0,5.0,4.89,-1.0
0,6.0,5.29,-1.0
0,7.0,6.04,-1.0
0,8.0,7.33,-1.0
0,9.0,7.98,-1.0
0,10.0,8.99,-1.0
0,11.0,9.7,-1.0
0,12.0,10.32,-1.0
0,13.0,10.67,-1.0
0,14.0,10.67,-1.0
0,15.0,10.27,-1.0
0,16.0,9.69,-1.0
0,17.0,9.53,-1.0
0,18.0,9.12,-1.0
0,19.0,9.11,-1.0
0,20.0,8.98,-1.0
0,21.0,8.18,-1.0
0,22.0,7.76,-1.0
0,23.0,8.1,-1.0
1,0.0,8.12,-1.0
1,1.0,8.08,-1.0
1,2.0,7.64,-1.0
1,3.0,7.64,-1.0
1,4.0,8.07,-1.0
1,5.0,8.07,-1.0
1,6.0,7.68,-1.0
1,7.0,7.74,-1.0
1,8.0,7.74,-1.0
1,9.0,8.6,-1.0
1,10.0,9.13,-1.0
1,11.0,9.62,-1.0
1,12.0,10.06,-1.0
1,13.0,10.13,-1.0
1,14.0,8.58,-1.0
1,15.0,9.69,-1.0
1,16.0,10.02,-1.0
1,17.0,9.34,-1.0
1,18.0,8.34,-1.0
1,19.0,7.86,-1.0
1,20.0,7.26,-1.0
1,21.0,6.79,-1.0
1,22.0,6.33,-1.0
1,23.0,5.85,-1.0
2,0.0,5.77,-1.0
2,1.0,5.45,-1.0
2,2.0,5.33,-1.0
2,3.0,5.62,-1.0
2,4.0,5.19,-1.0
2,5.0,5.19,-1.0
2,6.0,5.33,-1.0
2,7.0,5.52,-1.0
2,8.0,5.97,-1.0
2,9.0,6.65,-1.0
2,10.0,7.3,-1.0
2,11.0,9.06,-1.0
2,12.0,9.27,-1.0
2,13.0,10.13,-1.0
2,14.0,10.07,-1.0
2,15.0,9.99,-1.0
2,16.0,9.22,-1.0
2,17.0,9.15,-1.0
2,18.0,8.54,-1.0
2,19.0,8.56,-1.0
2,20.0,9.05,-1.0
2,21.0,8.64,-1.0
2,22.0,9.14,-1.0
2,23.0,9.2,-1.0
3,0.0,9.23,-1.0
3,1.0,9.73,-1.0
3,2.0,9.72,-1.0
3,3.0,9.9,-1.0
3,4.0,10.29,-1.0
3,5.0,10.37,-1.0
3,6.0,10.42,-1.0
3,7.0,10.82,-1.0
3,8.0,10.94,-1.0
3,9.0,11.32,-1.0
3,10.0,11.02,-1.0
3,11.0,11.37,-1.0
3,12.0,11.34,-1.0
3,13.0,11.45,-1.0
3,14.0,12.39,-1.0
3,15.0,12.5,-1.0
3,16.0,11.74,-1.0
3,17.0,10.23,-1.0
3,18.0,8.51,-1.0
3,19.0,8.02,-1.0
3,20.0,7.34,-1.0
3,21.0,6.84,-1.0
3,22.0,6.86,-1.0
3,23.0,6.34,-1.0
4,0.0,6.14,-1.0
4,1.0,5.64,-1.0
4,2.0,5.13,-1.0
4,3.0,4.71,-1.0
4,4.0,4.15,-1.0
4,5.0,3.74,-1.0
4,6.0,3.59,-1.0
4,7.0,3.59,-1.0
4,8.0,4.25,-1.0
4,9.0,5.52,-1.0
4,10.0,7.08,-1.0
4,11.0,8.57,-1.0
4,12.0,8.85,-1.0
4,13.0,8.91,-1.0
4,14.0,10.15,-1.0
4,15.0,10.0,-1.0
4,16.0,9.53,-1.0
4,17.0,8.44,-1.0
4,18.0,7.74,-1.0
4,19.0,7.62,-1.0
4,20.0,6.87,-1.0
4,21.0,6.88,-1.0
4,22.0,6.53,-1.0
4,23.0,6.94,-1.0
5,0.0,6.85,-1.0
5,1.0,6.71,-1.0
5,2.0,6.26,-1.0
5,3.0,5.83,-1.0
5,4.0,5.31,-1.0
5,5.0,5.19,-1.0
5,6.0,5.1,-1.0
5,7.0,4.72,-1.0
5,8.0,4.95,-1.0
5,9.0,6.6,-1.0
5,10.0,8.19,-1.0
5,11.0,9.66,-1.0
5,12.0,9.61,-1.0
5,13.0,10.91,-1.0
5,14.0,11.63,-1.0
5,15.0,11.17,-1.0
5,16.0,10.7,-1.0
5,17.0,9.92,-1.0
5,18.0,8.77,-1.0
5,19.0,7.95,-1.0
5,20.0,7.52,-1.0
5,21.0,7.57,-1.0
5,22.0,8.16,-1.0
5,23.0,8.64,-1.0
6,0.0,9.08,-1.0
6,1.0,8.72,-1.0
6,2.0,8.67,-1.0
6,3.0,9.17,-1.0
6,4.0,9.22,-1.0
6,5.0,9.24,-1.0
6,6.0,9.69,-1.0
6,7.0,9.73,-1.0
6,8.0,9.81,-1.0
6,9.0,10.3,-1.0
6,10.0,10.74,-1.0
6,11.0,11.43,-1.0
6,12.0,11.49,-1.0
6,13.0,11.48,-1.0
6,14.0,11.91,-1.0
6,15.0,11.63,-1.0
6,16.0,11.94,-1.0
6,17.0,11.41,-1.0
6,18.0,10.99,-1.0
6,19.0,10.76,-1.0
6,20.0,10.38,-1.0
6,21.0,10.37,-1.0
6,22.0,10.1,-1.0
6,23.0,9.63,-1.0
0,0.0,9.18,-1.0
0,1.0,9.01,-1.0
0,2.0,8.58,-1.0
0,3.0,8.51,-1.0
0,4.0,8.12,-1.0
0,5.0,8.08,-1.0
0,6.0,8.31,-1.0
0,7.0,7.99,-1.0
0,8.0,8.08,-1.0
0,9.0,9.22,-1.0
0,10.0,11.32,-1.0
0,11.0,12.46,-1.0
0,12.0,13.07,-1.0
0,13.0,14.23,-1.0
0,14.0,12.89,-1.0
0,15.0,12.38,-1.0
0,16.0,11.64,-1.0
0,17.0,11.22,-1.0
0,18.0,10.92,-1.0
0,19.0,11.33,-1.0
0,20.0,11.36,-1.0
0,21.0,11.48,-1.0
0,22.0,12.33,-1.0
0,23.0,11.97,-1.0
1,0.0,11.43,-1.0
1,1.0,10.78,-1.0
1,2.0,9.28,-1.0
1,3.0,8.25,-1.0
1,4.0,8.67,-1.0
1,5.0,9.12,-1.0
1,6.0,8.71,-1.0
1,7.0,8.72,-1.0
1,8.0,8.71,-1.0
1,9.0,8.58,-1.0
1,10.0,8.54,-1.0
1,11.0,7.41,-1.0
1,12.0,8.63,-1.0
1,13.0,9.97,-1.0
1,14.0,10.31,-1.0
1,15.0,10.06,-1.0
1,16.0,9.99,-1.0
1,17.0,9.41,-1.0
1,18.0,8.39,-1.0
1,19.0,7.88,-1.0
1,20.0,6.99,-1.0
1,21.0,6.79,-1.0
1,22.0,6.81,-1.0
1,23.0,6.82,-1.0
2,0.0,6.69,-1.0
2,1.0,6.58,-1.0
2,2.0,5.72,-1.0
2,3.0,4.82,-1.0
2,4.0,4.62,-1.0
2,5.0,4.55,-1.0
2,6.0,4.88,-1.0
2,7.0,4.17,-1.0
2,8.0,4.92,-1.0
2,9.0,6.97,-1.0
2,10.0,8.68,-1.0
2,11.0,10.03,-1.0
2,12.0,9.87,-1.0
2,13.0,11.29,-1.0
2,14.0,10.87,-1.0
2,15.0,11.11,-1.0
2,16.0,11.04,-1.0
2,17.0,10.02,-1.0
2,18.0,8.78,-1.0
2,19.0,7.73,-1.0
2,20.0,7.06,-1.0
2,21.0,6.58,-1.0
2,22.0,6.24,-1.0
2,23.0,6.27,-1.0
3,0.0,6.01,-1.0
3,1.0,6.54,-1.0
3,2.0,7.44,-1.0
3,3.0,7.49,-1.0
3,4.0,7.41,-1.0
3,5.0,7.41,-1.0
3,6.0,7.07,-1.0
3,7.0,7.45,-1.0
3,8.0,7.67,-1.0
3,9.0,7.97,-1.0
3,10.0,8.24,-1.0
3,11.0,9.61,-1.0
3,12.0,10.31,-1.0
3,13.0,10.3,-1.0
3,14.0,10.31,-1.0
3,15.0,9.66,-1.0
3,16.0,9.18,-1.0
3,17.0,8.69,-1.0
3,18.0,7.22,-1.0
3,19.0,6.22,-1.0
3,20.0,5.94,-1.0
3,21.0,5.03,-1.0
3,22.0,4.1,-1.0
3,23.0,3.93,-1.0
4,0.0,3.81,-1.0
